,plantid,genotype_name,cluster
19899,566,DH_KE0468,
19938,567,DH_KE0088,
19976,568,DH_PE0435,
20014,569,DH_PE0150,
20053,570,DH_KE0574,
20091,572,DH_PE0598,
20129,573,DH_PE0090,
20165,574,DH_KE0191,
20203,575,DH_PE0348,
20240,576,DH_KE0422,
20277,577,DH_KE0510,
20315,578,DH_KE0703,
20352,579,DH_KE0090,
20388,580,DH_KE0253,
20426,581,DH_PE0270,
20462,582,DH_KE0114,
20499,583,DH_KE0034,
20537,584,DH_KE0610,
20573,585,DH_KE0289,
20610,586,DH_PE0035,
20648,587,DH_PE0448,
20685,588,DH_KE0242,
20721,589,DH_KE0561,
20759,590,DH_PE0247,
20795,591,DH_PE0513,
20831,592,DH_KE0168,
20869,593,DH_PE0546,
20906,594,DH_PE0275,
20943,595,DH_PE0357,
20981,596,DH_PE0136,
21018,597,DH_KE0024,
21055,598,DH_KE0130,
21093,599,DH_KE0110,
21130,600,DH_PE0157,
21167,601,DH_KE0425,
21205,602,DH_KE0654,
21241,603,DH_KE0222,
21278,604,DH_KE0120,
21316,605,DH_KE0490,
21352,606,DH_KE0103,
21389,607,DH_KE0075,
21427,608,DH_PE0511,
21464,609,DH_PE0155,
21500,610,F2,
21537,611,DH_KE0100,
21573,612,DH_PE0564,
21609,613,DH_PE0018,
21646,614,DH_KE0678,
21683,615,DH_KE0215,
21719,616,DH_PE0115,
21756,617,DH_PE0410,
21792,618,DH_PE0134,
21828,619,DH_KE0212,
21865,620,DH_KE0577,
21902,621,DH_PE0413,
21937,622,DH_KE0407,
21974,623,DH_PE0082,
22011,624,DH_KE0466,
22046,625,DH_PE0140,
22083,626,DH_PE0519,
22120,627,DH_KE0144,
22155,629,DH_KE0109,
22192,630,DH_PE0634,
22227,631,DH_PE0588,
22264,632,DH_PE0165,
22301,633,DH_PE0342,
22335,634,DH_KE0627,
22372,635,DH_PE0034,
22409,636,DH_KE0031,
22444,637,DH_PE0528,
22480,638,DH_PE0422,
22516,639,DH_PE0389,
22551,640,DH_KE0604,
22587,641,DH_KE0628,
22621,642,DH_PE0132,
22656,643,DH_KE0486,
22692,644,DH_PE0324,
22727,645,DH_PE0345,
22762,646,DH_KE0070,
22798,647,DH_KE0462,
22834,648,DH_PE0505,
22868,649,DH_KE0492,
22904,650,DH_KE0199,
22939,651,DH_PE0017,
22974,652,DH_KE0214,
23010,653,DH_KE0269,
