name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
netherland,2022-03-25,8.8,2.8,5.8,6.7,1.5,4.4,1.6,75.6,0,0,0,rain,0,0,33.5,17,263.3,1013,79.8,16,62.4,5.5,2,10,2022-03-25T06:37:44,2022-03-25T18:57:49,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72327400372,99999963855,72325003847,KSRB,D3823,K8A3,TR889"
netherland,2022-03-26,11.8,0.7,6.8,11.8,-2,5.1,-5.3,50,0,0,0,rain,0,0,54.4,30.8,291.6,1012.9,9.7,16,262.9,22.8,10,10,2022-03-26T06:36:17,2022-03-26T18:58:40,0.8,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-03-27,9.4,-2.9,3.2,7.7,-2.9,2.1,-7.2,50,0,0,0,,0,0,31.7,18.4,324.1,1018.9,1.7,16,260,22.4,10,10,2022-03-27T06:34:50,2022-03-27T18:59:31,0.84,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-03-28,10.7,0,4.8,10.7,-1.5,4,-6.6,46.3,0,0,0,,0,0,20.5,12.4,23,1021.8,45.1,16,178.7,15.4,8,10,2022-03-28T06:33:23,2022-03-28T19:00:22,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72327400372,99999963855,72325003847,KSRB,D3823,K8A3,TR889"
netherland,2022-03-29,21.3,2.8,12.7,21.3,1.6,12.2,1.2,46.4,0,0,0,,0,0,38.9,19.4,168.9,1018.1,55.1,16,165,14.1,7,10,2022-03-29T06:31:56,2022-03-29T19:01:13,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72327400372,99999963855,KSRB,K8A3,TR889"
netherland,2022-03-30,25.6,16.7,20.9,25.6,16.7,20.9,5.9,38.6,0,0,0,rain,0,0,72,40.3,184.4,1007.6,11.3,16,224,19.6,9,10,2022-03-30T06:30:29,2022-03-30T19:02:04,0.94,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-03-31,15.9,5.4,11,15.9,4.6,10.1,8.4,84.2,10.876,100,29.17,rain,0,0,46.8,24.8,237.9,1004.5,94.1,13.9,70.9,6.1,3,10,2022-03-31T06:29:02,2022-03-31T19:02:55,0.98,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-04-01,10.9,2.9,5.9,10.9,0.3,4.6,0.4,70.5,0.273,100,8.33,rain,0,0,36,17.4,316.6,1016.8,51.8,15.8,258.6,22.4,10,10,2022-04-01T06:27:36,2022-04-01T19:03:46,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72327400372,99999963855,72325003847,KSRB,D3823,K8A3,TR889"
netherland,2022-04-02,14.9,-0.2,7.3,14.9,-2.6,7,-0.4,62,0,0,0,,0,0,24.5,13.9,246.7,1017.3,29.2,16,167.3,14.4,7,10,2022-04-02T06:26:10,2022-04-02T19:04:37,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-04-03,14.8,1.4,8.7,14.8,1.4,8.2,0,58.3,0,0,0,,0,0,28.8,16.7,5.7,1017.5,13,16,275.7,23.8,10,10,2022-04-03T06:24:44,2022-04-03T19:05:28,0.08,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-04-04,20.3,3.6,13.2,20.3,3.6,13.1,0.4,45.3,0,0,0,,0,0,41,21.4,222.7,1014.1,39.1,16,219.5,19,9,10,2022-04-04T06:23:18,2022-04-04T19:06:18,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72327400372,99999963855,TT542,KSRB,D3823,K8A3"
netherland,2022-04-05,16.6,11.4,13.6,16.6,11.4,13.6,7.9,72.6,7.589,100,37.5,rain,0,0,34.2,20.3,186.4,1006,73.7,12.3,34.7,2.9,1,10,2022-04-05T06:21:53,2022-04-05T19:07:09,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-04-06,23.9,9.8,14,23.9,9,14,12.3,90.4,2.907,100,16.67,rain,0,0,47.6,29.3,222.4,1005.8,84,14.7,135.4,11.6,7,30,2022-04-06T06:20:28,2022-04-06T19:08:00,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72327400372,99999963855,72325003847,KSRB,D3823,K8A3,TR889"
netherland,2022-04-07,13.4,6.4,10.2,13.4,5.4,9.8,3.6,68.2,0,0,0,rain,0,0,40.7,25.8,264.4,1008.3,80.6,13.8,195.8,16.8,10,10,2022-04-07T06:19:04,2022-04-07T19:08:51,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-04-08,7.4,1.7,4.6,4.2,-1.3,1.9,0.1,72.8,1.789,100,41.67,"rain,snow",0,0,38.6,22,254.2,1008.8,81.4,15.4,108.8,9.5,4,10,2022-04-08T06:17:39,2022-04-08T19:09:42,0.24,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72327400372,99999963855,72325003847,KCSV,KSRB,D3823,K8A3,TR889"
netherland,2022-04-09,8.2,1.3,4,6.2,-1.8,1.6,-1.4,70.2,0.863,100,33.33,"rain,snow",0.4,0.1,43.4,23.9,277.7,1013.5,72,14.9,146.7,12.8,5,10,2022-04-09T06:16:16,2022-04-09T19:10:33,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72327400372,99999963855,72325003847,KCSV,KSRB,D3823,K8A3,TR889"
netherland,2022-04-10,22.5,-1.1,11.3,22.5,-1.1,11.3,-0.8,48.4,0,0,0,,0,0,35.3,17.1,193.3,1016.3,0.5,16,283.4,24.6,10,10,2022-04-10T06:14:53,2022-04-10T19:11:24,0.3,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,72325003847,KCSV,KSRB,D3823,K8A3,TR889"
netherland,2022-04-11,17.1,13.5,14.9,17.1,13.5,14.9,8.7,68.2,3.087,100,33.33,rain,0,0,56.2,29.8,208.5,1016.7,61.6,15.1,78,6.8,3,10,2022-04-11T06:13:30,2022-04-11T19:12:15,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72327400372,99999963855,72325003847,KCSV,KSRB,D3823,K8A3,TR889"
